|--------------------------------------------------------------|------------|
|Names                                                         |Status      |
|===========================================================================|
|Kelly, Mr. James                                              |Not Survived|
|--------------------------------------------------------------|------------|
|Wilkes, Mrs. James (Ellen Needs)                              |Not Survived|
|--------------------------------------------------------------|------------|
|Myles, Mr. Thomas Francis                                     |Not Survived|
|--------------------------------------------------------------|------------|
|Wirz, Mr. Albert                                              |Not Survived|
|--------------------------------------------------------------|------------|
|Hirvonen, Mrs. Alexander (Helga E Lindqvist)                  |Survived    |
|--------------------------------------------------------------|------------|
|Svensson, Mr. Johan Cervin                                    |Not Survived|
|--------------------------------------------------------------|------------|
|Connolly, Miss. Kate                                          |Survived    |
|--------------------------------------------------------------|------------|
|Caldwell, Mr. Albert Francis                                  |Not Survived|
|--------------------------------------------------------------|------------|
|Abrahim, Mrs. Joseph (Sophie Halaut Easu)                     |Survived    |
|--------------------------------------------------------------|------------|
|Davies, Mr. John Samuel                                       |Not Survived|
|--------------------------------------------------------------|------------|
|Ilieff, Mr. Ylio                                              |Not Survived|
|--------------------------------------------------------------|------------|
|Jones, Mr. Charles Cresson                                    |Survived    |
|--------------------------------------------------------------|------------|
|Snyder, Mrs. John Pillsbury (Nelle Stevenson)                 |Not Survived|
|--------------------------------------------------------------|------------|
|Howard, Mr. Benjamin                                          |Survived    |
|--------------------------------------------------------------|------------|
|Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)       |Survived    |
|--------------------------------------------------------------|------------|
|del Carlo, Mrs. Sebastiano (Argenia Genovesi)                 |Not Survived|
|--------------------------------------------------------------|------------|
|Keane, Mr. Daniel                                             |Not Survived|
|--------------------------------------------------------------|------------|
|Assaf, Mr. Gerios                                             |Survived    |
|--------------------------------------------------------------|------------|
|Ilmakangas, Miss. Ida Livija                                  |Not Survived|
|--------------------------------------------------------------|------------|
|Assaf Khalil, Mrs. Mariana (Miriam")"                         |Not Survived|
|--------------------------------------------------------------|------------|
|Rothschild, Mr. Martin                                        |Not Survived|
|--------------------------------------------------------------|------------|
|Olsen, Master. Artur Karl                                     |Survived    |
|--------------------------------------------------------------|------------|
|Flegenheim, Mrs. Alfred (Antoinette)                          |Survived    |
|--------------------------------------------------------------|------------|
|Williams, Mr. Richard Norris II                               |Not Survived|
|--------------------------------------------------------------|------------|
|Ryerson, Mrs. Arthur Larned (Emily Maria Borie)               |Survived    |
|--------------------------------------------------------------|------------|
|Robins, Mr. Alexander A                                       |Not Survived|
|--------------------------------------------------------------|------------|
|Ostby, Miss. Helene Ragnhild                                  |Not Survived|
|--------------------------------------------------------------|------------|
|Daher, Mr. Shedid                                             |Not Survived|
|--------------------------------------------------------------|------------|
|Brady, Mr. John Bertram                                       |Not Survived|
|--------------------------------------------------------------|------------|
|Samaan, Mr. Elias                                             |Not Survived|
|--------------------------------------------------------------|------------|
|Louch, Mr. Charles Alexander                                  |Survived    |
|--------------------------------------------------------------|------------|
|Jefferys, Mr. Clifford Thomas                                 |Not Survived|
|--------------------------------------------------------------|------------|
|Dean, Mrs. Bertram (Eva Georgetta Light)                      |Survived    |
|--------------------------------------------------------------|------------|
|Johnston, Mrs. Andrew G (Elizabeth Lily" Watson)"             |Not Survived|
|--------------------------------------------------------------|------------|
|Mock, Mr. Philipp Edmund                                      |Not Survived|
|--------------------------------------------------------------|------------|
|Katavelas, Mr. Vassilios (Catavelas Vassilios")"              |Not Survived|
|--------------------------------------------------------------|------------|
|Roth, Miss. Sarah A                                           |Survived    |
|--------------------------------------------------------------|------------|
|Cacic, Miss. Manda                                            |Survived    |
|--------------------------------------------------------------|------------|
|Sap, Mr. Julius                                               |Not Survived|
|--------------------------------------------------------------|------------|
|Hee, Mr. Ling                                                 |Not Survived|
|--------------------------------------------------------------|------------|
|Karun, Mr. Franz                                              |Survived    |
|--------------------------------------------------------------|------------|
|Franklin, Mr. Thomas Parham                                   |Not Survived|
|--------------------------------------------------------------|------------|
